młodszy,specjalista,ds.,procesów,biznesowych,grupa,ergo,hestia,sopot,specjalista,mid,"regular,",młodszy,specjalista,junior
menedżer,projektów,it,grupa,ergo,hestia,sopot,specjalista,mid,regular
data,scientist,w,obszarze,market,intelligence,​,grupa,ergo,hestia,sopot,specjalista,mid,regular
specjalista,ds.,systemów,it,grupa,ergo,hestia,sopot,specjalista,mid,regular
